title,authors,genre,thumbnail,description,average_rating,cluster
The Best American Mystery Stories 2004,Nelson DeMille;Otto Penzler,Fiction,http://books.google.com/books/content?id=WeSBCKu7Cd8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,present a collection of mystery story select from magazine in the united states and canada,3.53,0
Fergus and the Night-Demon,Jim Murphy,Juvenile Fiction,http://books.google.com/books/content?id=OKeoo26uyvUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on his way to town to have some fun a lazy but clever young man face a terrible demon who declare that his time have come,3.71,1
The Fellowship of the Ring,J. R. R. Tolkien,Fiction,http://books.google.com/books/content?id=S35cUR-u4y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,after discover the true nature of the one ring bilbo baggin entrust it to the care of his young cousin frodo who be charge with bring about its destruction and thus foil the plan of the dark lord,4.35,0
The Hermit's Story,Rick Bass,Fiction,http://books.google.com/books/content?id=tL1PmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,encompass both previously publish piece and original fiction this richly varied anthology of short story by the author of colter and where the sea use to be feature the title story about a man and woman who travel across a frozen lake under the ice as well as the distance eat the cave and real town among other reprint,4.12,0
The Lord of the Rings,Chris Smith,Literary Criticism,http://books.google.com/books/content?id=Wu8x5MNS1rAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,describe in detail with over one thousand photograph the battle army and armor use in the war of the ring base on jrr tolkien lord of the ring trilogy include battle plan and character history and description,4.53,7
JRR Tolkien Companion & Guide,Christina Scull;Wayne G. Hammond,Literary Criticism,http://books.google.com/books/content?id=wohlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,an indepth reference to tolkien life and work provide brief alphabetical entry on a wide range of topic that encompass the author source material synopsis of his writing a chronology analysis of his character and the personal and historical influence on his writing,4.53,7
The Maps of Tolkien's Middle-earth,Brian Sibley,Fiction,http://books.google.com/books/content?id=gCENA64Y-O4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,include four poster depict tolkien world of middleearth with map from the hobbit beleriand and numenor accompany by a manual describe the signicance of geographical evolution in the author work,4.13,0
Understanding the Lord of the Rings,Neil D. Isaacs;Rose A. Zimbardo,Literary Criticism,http://books.google.com/books/content?id=GEWXQbASXZUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,select essay on tolkien trilogy include w h auden essay on the hero quest c s lewiss piece on the value of myth marion zimmer bradley article on hero worship tim shippey piece on the film trilogy and much more original,4.02,7
Dunk,David Lubar,Juvenile Fiction,http://books.google.com/books/content?id=ulrb63WKXlMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,while hope to work as the clown in an amusement park dunk tank on the new jersey shore the summer before his junior year in high school chad face his good friend serious illness hassle with police and the girl that get away reprint,3.8,1
The Bake Shop Ghost,Jacqueline K. Ogburn;Marjorie Priceman,Juvenile Fiction,http://books.google.com/books/content?id=Qwi5oabCNkwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,miss cora lee merriweather haunt her bake shop after her death until the new shop owner annie washington make a deal with she,4.26,1
Reefer Madness,Eric Schlosser,Business & Economics,http://books.google.com/books/content?id=xpoumAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,report on americas shadow economy of illegal drug pornography and illegal migrant worker argue that these underground industry continue to grow with government intervention,3.77,7
The Last Shot,Darcy Frey,Sports & Recreation,http://books.google.com/books/content?id=VXp3l0ZXZscC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,dream of a college scholarship and escape from the neighborhood the talented abraham lincoln high school railsplitter see basketball as their only hope but the reality of sat the ncaa and college recruitment be tough to overcome,4.16,7
Dark Star Safari,Paul Theroux,Travel,http://books.google.com/books/content?id=NO5sC72BSNgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the author recount his odyssey down the length of africa from cairo to south africa describe the bad food many delay discomfort and danger of his trip along with the people and place of the real africa,3.96,7
The Best American Sports Writing 2006,Glenn Stout;Michael Lewis,Sports & Recreation,http://books.google.com/books/content?id=4bry8JuAiPEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,include article choose from magazine and newspaper on topic range from bullfighte to basketball baseball and boxing,3.75,7
"Since 1500, Chapters 15-30",Richard W. Bulliet,Science,http://books.google.com/books/content?id=DS0C7QE9ZvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the earth and its people brief edition be a compact presentation of world history with a comparative approach and a global balanced perspective the theme of environment and technology and diversity and dominance unite the region of the world the earth and its people brief edition offer a high level of scholarship with a supportive studentfriendly format,4.0,7
Trip to the North Pole,Ellen Weiss;Robert Zemeckis;William Broyles;Chris Van Allsburg,Fiction,http://books.google.com/books/content?id=QgVmKEDNkrsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on christmas eve a young boy join some other child on a magical train ride to the north pole in an adaptation of the new movie be release this holiday season original,3.62,0
Fun Home,Alison Bechdel,Biography & Autobiography,http://books.google.com/books/content?id=muxkYCmy7-wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a memoir do in the form of a graphic novel by a cult favorite comic artist offer a darkly funny family portrait that detail her relationship with her fathera funeral home director high school english teacher and closet homosexual,4.09,2
"Natural Health, Natural Medicine",Andrew Weil,Health & Fitness,http://books.google.com/books/content?id=qliYOteXA30C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the bestselle book of andrew weil the guru of alternative medicine san francisco examiner offer a comprehensive blend of traditional and alternative method that help to achieve well health in the modern world natural health natural medicine be a comprehensive resource for everything you need to know to maintain optimum health and treat common ailment this landmark book incorporate dr weil theory of preventive health maintenance and alternative healing into one extremely useful and readable reference feature general diet and nutrition information as well as simple recipe answer to reader most press question a catalogue of home remedy invaluable resource and hundred of practical tip this edition include uptotheminute scientific finding and have be expand to provide trustworthy advice about lowcarb diet hormone replacement therapy alzheimer attention deficit disorder reflux disease autism type 2 diabete erectile dysfunction the flu and much more,4.12,7
The Namesake,Jhumpa Lahiri,Fiction,http://books.google.com/books/content?id=Nx-vY7ac1OcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,an incisive portrait of the immigrant experience follow the ganguli family from their traditional life in india through their arrival in massachusetts in the late 1960 and their difficult melding into an american way of life in a debut novel that span three decade two continent and two generation by the pulitzer prizewinne author of interpreter of malady reprint,3.98,0
Entre Amis,Michael Oates;Larbi Oukada,Foreign Language Study,http://books.google.com/books/content?id=M91wPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,entre amis be a performanceoriente program design to expand student interpersonal interpretive and presentational communicative skill by present and rehearse situation similar to those they will encounter in real life base on a progressive approach entre amis feature thorough coverage of all fourlanguage skill with a strong emphasis on oral communication the language present and practice be always embed in a french cultural context,3.52,7
The Lord of the Rings Complete Visual Companion,Jude Fisher,Fiction,http://books.google.com/books/content?id=7_IRAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,photograph screenshot and image from all three film provide a visual compendium of the film trilogy the lord of the ring document the varied character and locale as see through peter jackson vision of middleearth,4.5,0
The Heart is a Lonely Hunter,Carson McCullers,Fiction,http://books.google.com/books/content?id=z_Pvxz9iRJ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a quiet sensitive girl search for beauty in a small but damned southern town,3.97,0
Firefighters in the Dark,Dashka Slater;Nicoletta Ceccoli,Juvenile Fiction,http://books.google.com/books/content?id=Ee5sT-sVtyoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,while in bed at night an imaginative child hear siren from the nearby fire station and create fantastic story about what the firefighter be go to do,3.62,1
Tolkien And The Great War,John Garth,Biography & Autobiography,http://books.google.com/books/content?id=OODLVikjYksC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the author focus on a littlediscusse aspect of j r r tolkien lifehis harrowing experience in the trench during world war ireveale how the death of two comrade in particular influence his later life and literary career reprint,3.7,2
The Two Towers,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=wpCBdbLSmLcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,after lose gandalf and be divide from their other companion during an orc attack frodo and sam continue towards mordor land of the enemy to destroy the ring accompany only by a mysterious figure that follow they,4.44,0
The Best American Travel Writing 2006,Tim Cahill;Jason Wilson,Travel,http://books.google.com/books/content?id=H8GRNgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,present an anthology of the good travel writing publish in the previous year select from magazine newspaper and web site,3.93,7
The Best American Spiritual Writing 2006,Philip Zaleski,Literary Collections,http://books.google.com/books/content?id=hJ46LRV50KUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a selection of the fine spiritual writing of the year offer essay and article on faith spirituality and their influence on politic creativity literature and other field reflect christian muslim jewish buddhist and other diverse perspective,3.52,7
The Polar Express,Chris Van Allsburg,Juvenile Fiction,http://books.google.com/books/content?id=9946PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a magical train ride on christmas eve take a boy to the north pole to receive a special gift from santa claus in a slipcased gift edition of the holiday classic a caldecott medal book,4.3,1
Bury the Chains,Adam Hochschild,History,http://books.google.com/books/content?id=8p6c9N5K2i0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,offer an account of the first great human right crusade which originate in england in the 1780 and result in the freeing of hundred of thousand of slave around the world,4.27,4
The Ancestor's Tale,Richard Dawkins;Yan Wong,Science,http://books.google.com/books/content?id=rR9XPnaqvCMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a renowned biologist provide a sweeping chronicle of more than four billion year of life on earth shed new light on evolutionary theory and history sexual selection speciation extinction and genetic,4.13,7
The Lord of the Rings Sketchbook,Alan Lee,Art,http://books.google.com/books/content?id=JUdOAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a largeformat collection of drawing and painting cull from the illustrate edition of the lord of the ring and the recent film trilogy include more than 150 illustration from the author as well as twenty fullcolor plate make for peter jackson production company,4.27,7
Gossamer,Lois Lowry,Juvenile Fiction,http://books.google.com/books/content?id=4vJZmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,while learn to bestow dream a young dream giver try to save an eightyearold boy from the effect of both his abusive past and the nightmare inflict on he by the frightening sinisteed 100000 first printing,3.89,1
In the Lake of the Woods,Tim O'Brien,Fiction,http://books.google.com/books/content?id=sEQmQYilkpEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,pursue by rumor of the atrocity he commit in vietnam a politician and his wife seek refuge in a lakeside cabin in northern minnesota where a mystery unfold when the wife mysterious vanishe into the nearby wilderness reprint,3.78,0
Chew on this,Eric Schlosser;Charles Wilson,Juvenile Nonfiction,http://books.google.com/books/content?id=469DC75tfvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a behindthescene look at the fast food industry,3.75,7
The Diezmo,Rick Bass,Fiction,http://books.google.com/books/content?id=C1DnmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a novel base on the reallife incident of the mi expedition one of the most tragic event in texas history follow two young man on an expedition to the mexican border during which they be capture in a raid on the mexcian village of mi and end up as pawn in an international chess game that will determine the fate of texas reader guide available reprint,3.46,0
Three Nights in August,H. G. Bissinger;Buzz Bissinger,Sports & Recreation,http://books.google.com/books/content?id=ncQZnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the pulitzer prizewinne author of friday night light chronicle a threegame series between baseball rival cardinal and cub focus particular attention on the star of the game albert pujols sammy sosa mark prior and scott rolen reprint,3.87,7
Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction,http://books.google.com/books/content?id=FHEy-iv2Y5IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,oskar schell the nineyearold son of a man kill in the world trade center attack search the five borough of new york city for a lock that fit a black key his father leave behind,3.98,0
The Hungry Tide,Amitav Ghosh,Fiction,http://books.google.com/books/content?id=LN16i5rklB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,present a novel of life in modern india chronicle the interwoven journey of an american marine biologist and a delhi businessman who travel to the remote sundarban island,3.94,0
The Chosen,Jerome Karabel,Education,http://books.google.com/books/content?id=zwf-Ofc--toC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a professor of sociology at the university of california present the finding of his survey of admission at princeton reveal a century of exclusion that cut to the core of the american experience while raise important question about the stratification of high education in america reprint,4.06,7
Children of Húrin,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=W6crAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a fantasy adventure saga set in the early day of middleearth feature human and elve dwarf and dragon orc and dark sorcerer clash in an epic battle between good and evil,3.97,0
The Ideology of the Aesthetic,Terry Eagleton,Literary Criticism,http://books.google.com/books/content?id=QzYDaoaUyLYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the ideology of the aesthetic present a history and critique of the concept of the aesthetic throughout modern western thought as such this be a critical survey of modern western philosophy focus in particular on the complex relation between aesthetic ethic and politic eagleton provide a brilliant and challenging introduction to these concern as characterize in the work of kant schiller schopenhau kierkegaard marx nietzsche freud heidegger lukac adorno habermas and other wide in span as well as morally and politically commit this be terry eagleton major work to date it form both an original enquiry and an exemplary introduction,4.13,7
On Certainty,Ludwig Wittgenstein,Philosophy,http://books.google.com/books/content?id=ZGHG6WkVF5EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,write over the last 18 month of his life and inspire by his interest in g e moore defence of common sense this much discuss volume collect wittgenstein reflection on knowledge and certainty on what it be to know a proposition for sure,4.16,3
Western Philosophy,John G. Cottingham,Philosophy,http://books.google.com/books/content?id=imkTo_sNrKcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,from ancient greece to the lead philosopher of today western philosophy an anthology provide the most comprehensive and authoritative survey of the western philosophical tradition in 100 substantial and carefully choose extract the volume cover all the main branch of philosophy theory of knowledge and metaphysics philosophy of mind religion and science moral philosophy theoretical and apply political theory and aesthetic chronologically and thematically arrange the reading be introduce and link together by a lucid philosophical commentary which guide the reader through the key argument this outstanding text will support a wide variety of introductory course in philosophy as well as provide more advanced student with a handy collection of classic source material,4.06,3
Liberals and Communitarians,Stephen Mulhall;Adam Swift,Political Science,http://books.google.com/books/content?id=tpPfWtJahCcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,this be a substantially update edition of the establish guide to this key debate in modern political philosophy,4.04,7
Philosophical Investigations,Ludwig Wittgenstein,Philosophy,http://books.google.com/books/content?id=JoPYriJM1cwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the philosophical investigation of ludwig wittgenstein 18891951 present his own distillation of two decade of intense work on the philosophy of mind language and mean,4.23,3
Michael W. Smith,Michael W. Smith,Music,http://books.google.com/books/content?id=6iIrPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,piano solo personality our piano solo folio feature all 12 tune from the first instrumental cd by this multimillionselling ccm artist record in ireland and release in 2000 freedom include the song the call carol ann cry of the heart free man freedom freedom battle the give hibernia letter to sarah the offer prayer for taylor thy word,3.8,7
"The Mystery of the Ancient Pyramid (Cairo, Egypt)",Carole Marsh,Juvenile Fiction,http://books.google.com/books/content?id=2WDcIRrSRCMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,mimi papa grant and christina find themselves in egypt try to solve a mystery involve a missing mummy a curse and a mad archaeologist,3.61,1
The Gospel According to Tolkien,Ralph C. Wood,Literary Criticism,http://books.google.com/books/content?id=xcQSngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,in this accessible and engaging book ralph wood show we that jrr tolkiens masterpiece be a deeply christian work because it do not blink back the horror of our terrible time but confront they with startling honesty reader keep turn to this work because here they be immerse in significance and mean perceive the hope than can be find amidst despair the charity that overcome vengeance and the faith that spring from the strange power of weakness the gospel accord to tolkien will be love by both longtime tolkien fan and those recently draw to his book through the popular feature film,4.07,7
That Godless Court?,Ronald Bruce Flowers,Religion,http://books.google.com/books/content?id=kjLLlS9hWmYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the religion clause of the first amendment which seem simple and clear have be and continue to be controversial in their application churchstate issue have never be more complex controversial and divisive than they be today in this helpful and instructive book ronald b flower explain clearly and concisely the intricacy and implication of supreme court decision in the volatile area of churchstate relation this be an ideal primer for those americans who have listen to the debate about what the supreme court have and have not say about the relationship between church and state and where the boundary between the two have be erode it be also ideal for use in the classroom specifically in undergraduate course in religion and the court introduction to us constitutional law constitutional law and politic and the supreme court the book be also a helpful tool for pastor clarify contemporary churchstate issue that impact their church and parishioner directly and indirectly,3.54,6
Luther and Erasmus,Ernest Gordon Rupp;Philip Saville Watson,Religion,http://books.google.com/books/content?id=IU_8JDjxL34C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,this volume include the text of erasmuss 1524 diatribe against luther de libero arbitrio and luther violent counterattack de servo arbitrio e gordon rupp and philip watson offer commentary on these text as well long recognize for the quality of its translation introduction explanatory note and index the library of christian classic provide scholar and student with modern english translation of some of the most significant christian theological text in history through these workseach write prior to the end of the sixteenth centurycontemporary reader be able to engage the idea that have shape christian theology and the church through the century,3.81,6
Self-made Man,Norah Vincent,Social Science,http://books.google.com/books/content?id=PGiBQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a los angeles times columnist recount her eighteenmonth undercover stint as a man a time during which she undergo considerable personal risk as she work a sale job join a bowling league frequent sex club date and encounter firsthand the rigid code and ritual of masculinity 80000 first printing,3.32,7
Swapping Lives,Jane Green,Fiction,http://books.google.com/books/content?id=x6Y1CioZ3QQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,long for a traditional family life in the country in spite of her successful career and many friend magazine director vicky townsley participate in a contest that have she switch place for one month with amber winslow a busy wife and mother by the author of the other woman 150000 first print,3.58,0
The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction,http://books.google.com/books/content?id=NJfZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,present selection from the author children book arrange in such category as animal magic family friend and foe and matter of importance,4.43,1
Mayflower,Nathaniel Philbrick,History,http://books.google.com/books/content?id=qk9AXww_XysC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a history of the pilgrim settlement of new england challenge popular misconception discuss such topic as the disease of european origin suffer by the wampanoag tribe the fragile work relationship between the pilgrim and their native american neighbor and the devastating impact of the king philips war by the author of sea of glory 450000 first print,3.87,4
Special Topics in Calamity Physics,Marisha Pessl,Fiction,http://books.google.com/books/content?id=6wAkEofYH_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,have move from one academic outpost to another throughout her childhood at the side of her aphorismprone father blue van meer attend the elite st gallway school in her senior year where she fall in with a charismatic group of friend before the death of a teacher and student awaken her analytical instinct a first novel 50000 first print,3.71,0
Helen of Troy,Margaret George,Fiction,http://books.google.com/books/content?id=M_35s5ud9QIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,marry at a tender age to the spartan king menelau the beautiful helen bear he a daughter and anticipate a passionless marriage before fall in love with the trojan prince paris with whom she flee to troy with devastating consequence,3.92,0
Dust,Martha Grimes,Fiction,http://books.google.com/books/content?id=HT9ir9clPfkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,richard jury investigate the death of a wealthy bachelor with a mysterious past who be last see in a club name dust,3.64,0
The Mistress's Daughter,A. M. Homes,Biography & Autobiography,http://books.google.com/books/content?id=PjNZlxRmi9oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a woman who be adopt as a newborn recount her experience of meet her birth parent describe how adoption affect her sense of identity her effort to learn about her late birth mother personal life and her discouragement with her birth father unwillingness to invite she into his family,3.28,2
Vinyl Cafe Diaries,Stuart McLean,Canada,http://books.google.com/books/content?id=lNAdAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the further adventure of dave and morley,4.19,7
Spycatcher,Peter Wright,Espionage,http://books.google.com/books/content?id=gkeJAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the former assistant director of mi5 offer an account of british intelligence include his work on the ring of five and expose soviet espionage and the conspiracy to oust harold wilson from the office of prime minister in the 1970,3.72,7
The Adventures of Pippi Longstocking,Astrid Lindgren;Michael Chesworth,Juvenile Fiction,http://books.google.com/books/content?id=n0sHAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a collection of three previously publish book pippi longstocking pippi go on board and pippi in the south sea,4.25,1
Haroun and the Sea of Stories,Salman Rushdie,Fiction,http://books.google.com/books/content?id=O-6nPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,it all begin with a letter fall in love with penguin drop cap a new series of twentysix collectible and hardcover edition each with a type cover showcase a gorgeously illustrate letter of the alphabet in a design collaboration between jessica hische and penguin art director paul buckley the series feature unique cover art by hische a superstar in the world of type design and illustration whose work have appear everywhere from tiffany co to wes anderson recent film moonrise kingdom to penguin own bestseller commit and rule of civility with exclusive design that have never before appear on hisches hugely popular daily drop cap blog the penguin drop cap series debut with an a for jane austen pride and prejudice a b for charlotte brontes jane eyre and a c for willa cather my antonia it continue with more perennial classic perfect to give as elegant gift or to showcase on your own shelf r be for rushdie set in an exotic eastern landscape people by magician and fantastic talking animal salman rushdie classic children novel haroun and the sea of story inhabit the same imaginative space as gulliver travel alice in wonderland and the wizard of oz haroun a 12yearold boy set out on an adventure to restore the poisoned source of the sea of story on the way he encounter many foe all intent on drain the sea of all its storytelle power,4.01,0
Matthew Flinders' Cat,Bryce Courtenay,Alcoholics,http://books.google.com/books/content?id=G9I1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,billy oshannessy once a prominent barrister be now on the street where he sleep on a bench outside the state library above he on the window sill rest a bronze statue of matthew flinders cat trim ryan be a tenyearold a near street kid head for all the usual trouble the two meet and form an unlikely friendship,3.8,7
Artemis Fowl,Eoin Colfer,Children's stories,http://books.google.com/books/content?id=TOqePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,twelveyearold villain artemis fowl be the most ingenious criminal mastermind in history his bold and daring plan be to hold a leprechaun to ransom but he s take on more than a bunch of fairy when he kidnap captain holly short of the leprecon low element police reconnaissance unit,4.05,7
In the Shadow of No Towers,Art Spiegelman,Graphic novels,http://books.google.com/books/content?id=0mLvAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,on 11th september 2001 art spiegelman race to the world trade center not know if his daughter nadja be alive or dead once she be find safe in her school at the foot of the burn tower he return home to meditate on the trauma and to work on a comic strip subversive iconic and burningly articulate in the shadow of no tower be new yorker art spiegelmans extraordinary account of the hijacking on 911 and the subsequent hijacking of those event by america,3.68,7
Echo Platoon,Richard Marcinko;John Weisman,Fiction,http://books.google.com/books/content?id=NqJ7l2bMCIYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,with iran and russia angle to take over oil resource in the caspian sea the navy seal accompany by major jessica van pachen and the rogue warrior be send in to protect american interest in the region reprint,3.95,0
Pieces,Stephen Chbosky,Fiction,http://books.google.com/books/content?id=p4wiuiViP0IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,collect short story write by winner of mtv write stuff competition express change and life experience such as break engagement doom relationship and reunion between high school friend,3.52,0
The Law of Enclosures,Dale Peck,Fiction,http://books.google.com/books/content?id=eYkgIE2OIigC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,the story of a fortyyear marriage follow the turbulence and joy share by henry and beatrice who in the emotional fallout of their relationship discover that they still have mutual feeling of love for each other reprint,3.65,0
You Belong To Me,Mary Higgins Clark,Fiction,http://books.google.com/books/content?id=zOTWszVu2GMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the mistress of high tension the new yorker and undisputed queen of suspense mary higgins clark bring we another new york times bestselle novel that usa today call she pageturne well about a killer who target lonely woman on cruise ship a masterful combination of pageturne suspense and classic mystery when dr susan chandler decide to use her daily radio talk show to explore the phenomenon of woman who disappear and be later find to have become victim of killer who prey on the lonely and insecure she have no idea that she be expose herselfand those close to herto the very terror that she hope to warn other against susan set out to determine who be responsible for an attempt on the life of a woman who call in to the show offer information on the mysterious disappearance from a cruise ship year before of regina clausen a wealthy investment advisor soon susan find herself in a race against time for not only do the killer stalk these lonely woman but he seem intent on eliminate anyone who can possibly far susans investigation as her search intensifie susan find herself confront with the realization that one of the man who have become important figure in her life might actually be the killer and as she get close to uncover his identity she realize almost too late that the hunter have become the hunt be she the next one mark for murder,3.86,0
Runaways,V.C. Andrews,Fiction,http://books.google.com/books/content?id=zxTAAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the spellbind orphan series conclude in this thrill new novel from vc andrews all for one and one for all be the girl motto in the grim foster home for orphan run by louise and gordon tooey at least brooke crystal raven and butterfly have each other call themselves sister together they could forget the past and dream of a new chancea real home then they discover a secret even more haunting than gordon heavy boot pound on the wooden floor their fragile hope of a well life shatter they escape the only way they could soon they be runaway in a borrow car desperately wish to wake up one morning in a place of sunshine and love raven hope to be a singer butterfly want to be a dancer crystal plan for college and brooke privately hope to find her mother in california on the open road the chain of sadness that have bind they seem to melt away and the kindness of stranger make a secure future seem almost real but the highway be a dangerous place and soon they be penniless and more vulnerable than ever alone under the wide western sky they have only each other to ask if they should give up their dreamsor if they be really halfway to a haven of safety and happiness,3.77,0
Private Parts,Howard Stern;John D. Simons,Biography & Autobiography,http://books.google.com/books/content?id=LTJFsGNJwyYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,an autobiography by the original shock jock share his observation on politic current affair woman and the entertainment business,3.76,2
My Gal Sunday,Mary Higgins Clark,Fiction,http://books.google.com/books/content?id=mL-Mf2cSlucC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a dash expresident and his young congresswoman bride become an irresistible sleuthing duo in four acclaimed story from the 1 new york times bestselle queen of suspense henry parker britland ivwealthy worldly and popularis enjoy an early retirement his new wife sundaya clever as she be lovelyha just be elect to congress in a stunning upset victory that have make she a media darling henry and sunday make a formidable teamand never more so than when they set out to solve baffle highsociety crime from a longunsolved case they reconstruct aboard the presidential yacht to a kidnapping that bring henry frantically back to the white house the former president and his bride engage in some of the most audacious and original sleuthing ever imagine only mary higgins clark can so seamlessly meld spellbind suspense wit and romance my gal sunday be entertainment of the high order,3.57,0
The Millionaire Next Door,Thomas J. Stanley;William D. Danko,Biography & Autobiography,http://books.google.com/books/content?id=ldpaww5kkmoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,reveal that the accumulation of wealth in the united states be most often do through hard work diligent saving and live a frugal lifestyle,4.02,2
The Tenth Man,Graham Greene,Fiction,http://books.google.com/books/content?id=-2JwRgEsYdgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,hold prisoner by the germans during world war ii a wealthy french lawyer be choose to die but make a cowardly trade for his life a decision that he must pay for as a free man reprint,3.72,0
The Gun Seller,Hugh Laurie,Fiction,http://books.google.com/books/content?id=8DJq3GXqGP8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,a spoof of the spy genre set in britain feature a drifter who orchestrate a magnificent caper involve the cia international terrorist arm dealer a highspeed chase on ski and buxom blonde beauty,3.68,0
She's Come Undone,Wally Lamb,Fiction,http://books.google.com/books/content?id=Oj3qixCHJNMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in this extraordinary comingofage odyssey wally lamb invite we to hitch a wild ride on a journey of love pain and renewal with the most heartbreakingly comical heroine to come along in year meet dolore price she s 13 wisemouthe but wound have bid her childhood goodbye strand in front of her bedroom tv she spend the next few year nourish herself with the mallomar potato chip and pepsi her anxious mother supply when she finally orbit into young womanhood at 257 pound dolore be no strong and life be no kind but this time she s determined to rise to the occasion and give herself one more chance before she really go under,3.86,0
