title,authors,genre,thumbnail,description,average_rating,main_genre
Further Tales of the City,Armistead Maupin,city and town life,http://books.google.com/books/content?id=wF8Zs-YZ-80C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the residents of 28 barbary lane are back again in this racy suspenseful and wildly romantic sequel to tales of the cityand more tales of the citydede halcyon day and mary ann singleton track down a charismatic psychopath michael tolliver looks for love landlady anna madrigal imprisons an anchorwoman in her basement storeroom and armistead maupin is in firm control,4.13,Non-Fiction
Sure of You,Armistead Maupin,city and town life,http://books.google.com/books/content?id=oFsQQuIgN-AC&printsec=frontcover&img=1&zoom=1&source=gbs_api, soon to be a netflix series starring ellen page and laura linney san francisco is fortunate in having a chronicler as witty and likeable as armistead maupin independent in this the sixth and final selfcontained volume of armistead maupins epic chronicle of modern life a fiercely ambitious tv talk show host finds she must choose between national stardom in new yorkand a husband and child in san francisco wistful and compassionate yet subversively funny sure of you is a triumphant finale to one of the most addictively entertainingseries of novels ever written,4.03,Non-Fiction
Five Quarters of the Orange,Joanne Harris,cookery,http://books.google.com/books/content?id=IF63k02hpw4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,beyond the main street of les laveuses runs the loire smooth and brown as a sunning snake but hiding a deadly undertow beneath its moving surface this is where framboise a secretive widow named after a raspberry liqueur plies her culinary trade at the crperie and lets memory play strange gamesinto this world comes the threat of revelation as framboise s nephew a profiteering parisian attempts to exploit the growing success of the country recipes she has inherited from her mother a woman remembered with contempt by the villagers of les laveuses as the spilt blood of a tragic wartime childhood flows again exposure beckons for framboise the widow with an invented pastjoanne harris has looked behind the drawn shutters of occupied france to illuminate the pain delight and loss of a life changed for ever by the uncertainties and betrayals of war,3.85,Non-Fiction
The Secret Dreamworld of a Shopaholic,Sophie Kinsella,"finance, personal",http://books.google.com/books/content?id=CIf0xwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the face of it rebecca bloomwood has it all confident single and happily living in desres fulham shes a financial journalist who spends her days writing articles advising other people on the importance of budgeting and prudent investment her private life is a different story though rebecca manages her own finaces in a way that would make most of her readers hair curl for rebecca is a woman on a mission she just cant stop spending publisher,3.63,Non-Fiction
Dead Famous,Ben Elton,fiction,http://books.google.com/books/content?id=kLFmCpSyd40C&printsec=frontcover&img=1&zoom=1&source=gbs_api,reality television takes a deadly turn when ten contestants in a single house that comes complete with cameras and microphones are suddenly confronted by a murder with absolutely no evidence original,3.64,Fiction
High Society,Ben Elton,fiction,http://books.google.com/books/content?id=yzh0pNWJjKwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the author presents a terrifying vision of a world out of control ruled by drug lords and their criminal organizations and encouraging an environment of lawlessness and chaos,3.77,Fiction
SeinLanguage,Jerry Seinfeld,humor,http://books.google.com/books/content?id=ApTW2DLrs1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the popular performer presents his unique and trenchant observations on the american scene touching on everything from relationships to raisinettes,3.63,Non-Fiction
The Illustrated a Brief History of Time,Stephen Hawking,science,http://books.google.com/books/content?id=wDr8uQ_vITQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an illustrated largeformat edition of the bestseller has been expanded to encompass the remarkable advances that have occurred in science and technology over the past eight years with a new chapter on wormholes and time travel and more than 240 fullcolor captioned illustrations 100000 first printing,4.16,Non-Fiction
Switch on the Night,Ray Bradbury;Leo Dillon;Diane Dillon,juvenile fiction,http://books.google.com/books/content?id=1eUMAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a magical little girl named dark shows a frightened little boy the power of switching on the night his fears quickly fade away as he views the beauty of the stars and moon against the dark night sky reprint,4.09,Children
Encyclopedia Brown and the Case of the Treasure Hunt,Donald J. Sobol,juvenile fiction,http://books.google.com/books/content?id=9AV-eA0fFOYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,americas sherlock holmes in sneakers continues his war on crime in ten more cases the solutions to which are found in the back of the book,4.03,Children
Chicken Trek,Stephen Manes,contests,http://books.google.com/books/content?id=sPiwWPVzNoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,oscar spends the summer with his inventor cousin traveling around the united states in a picklemobile eating chicken in the bag to win a contest while being pursued by an angry woman with mystical powers who is also determined to win the contest,4.38,Non-Fiction
Jessica's Bad Idea,Jamie Suzanne;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=z1-kst4NiE0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jessica feels like a latterday victor frankenstein when she suggests a makeover for her friend sandra ferris whose newfound popularity then threatens jessicas own social standing,3.48,Children
The Complete Short Stories of Mark Twain,Mark Twain,fiction,http://books.google.com/books/content?id=NxwHTVAD-3MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,gathers all sixty of twains stories including tall tales mysteries sketches and tales of travel,4.28,Fiction
The Brothers Karamazov,Fyodor Dostoyevsky,fiction,http://books.google.com/books/content?id=ZI2ncEieZloC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the violent lives of three sons are exposed when their father is murdered and each one attempts to come to terms with his own guilt,4.32,Fiction
The Complete Plays of Aristophanes,Aristophanes,drama,http://books.google.com/books/content?id=j_dvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,background information and brief introductions accompany eleven satiric plays by the fifth century bc playwright in an anthology that contains such classic and inventive works as the birds the frogs and lysistrata reissue,4.21,Fiction
"Maggie, a Girl of the Streets and Other Short Fiction",Stephen Crane,fiction,http://books.google.com/books/content?id=Pn0ebWAClC0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,cranes stark portrait of a young girl growing up amid the decay and filth of the bowery slums highlights a selection of short fictionwhich also includes the open boat the blue hotel and the bride comes to yellow sky reissue,3.32,Fiction
Journey To The Center Of The Earth,Jules Verne,fiction,http://books.google.com/books/content?id=4_dvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,follows professor hardwigg his nephew harry and their guide hans as they venture deep into a volcanic crater in iceland on a journey that leads them to the center of the earth and to incredible and horrifying discoveries reissue,3.85,Fiction
Slim Down Camp,Stephen Manes,health & fitness,http://books.google.com/books/content?id=ND8mj7p9y7oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,sent to a summer camp for overweight children a boy and girl rebel against the camps authorities and discover their own effective method of losing weight,3.9,Non-Fiction
The Broken Gun,Louis L'Amour,fiction,http://books.google.com/books/content?id=oYaf983hfDgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the brutal slayings of the alverez brothers follow an announcement by western fiction writer dan sheridan that he is investigating the strange disappearance of twenty men and four thousand head of cattle ninety years early,3.75,Fiction
From Socrates to Sartre,T. Z. Lavine,philosophy,http://books.google.com/books/content?id=SJXdTo3s54YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,surveys the essential features schools systems and developments in western philosophy,3.93,Non-Fiction
"First, last and always",Barbara Conklin,fiction,http://books.google.com/books/content?id=Ky4Kpoyn-LkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,gina dreams of becoming a doctor and she loves her work at the hospital as a candy striper but she wants a boyfriend too and dave seems perfect for her but will her career dreams drive them apart,3.76,Fiction
Exodus,Leon Uris,eretz israel,http://books.google.com/books/content?id=GfksygEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a novel of israel,4.34,Non-Fiction
Fire Watch,Connie Willis,fiction,http://books.google.com/books/content?id=3Afc9suMnrcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,this collection of short science fiction includes the novella fire watch the novelette a letter from the clearys and twelve other acclaimed stories,3.87,Fiction
Magician,Raymond E. Feist,apprentices,http://books.google.com/books/content?id=KyqdOq0W0cUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,for use in schools and libraries only once he was an orphan called pug apprenticed to a sorcerer of the enchanted land of midkemia then he was captured and enslaved by the tsurani a strange warlike race of invaders from another worldthere in the exotic empire of kelewan he earned a ne,4.18,Non-Fiction
Forging the Darksword,Margaret Weis;Tracy Hickman,fiction,http://books.google.com/books/content?id=ttekNyu1Va4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,born without magical abilities in a magic world joram flees to the outlands after being exiled from his village and joins the scholar saryon practitioner of the outlawed arts of science and creator of the darksword,3.67,Fiction
Winter Dreams,Barbara Conklin;Stefanie Curtis,blind,http://books.google.com/books/content?id=clG5Kv6s2tYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,anna lies about her appearance to attract michael a recently blinded accident victim but when surgery promises to restore michaels sight anna fears she will lose him forever,3.83,Non-Fiction
Shakespeare Alive!,Joseph Papp;Elizabeth Kirkland,drama,http://books.google.com/books/content?id=sWDvK-4NqmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,brings to life shakespeares england and the original production of his plays,3.39,Fiction
The Road to Gandolfo,Robert Ludlum,fiction,http://books.google.com/books/content?id=gr8yxxk39K4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a legendary but roguish us army general confronting the end of his illustrious military career mackenzie hawkins conceives an intricate plot to kidnap the pope and hold him for a ransom of one dollar for every catholic in the world reissue,3.64,Fiction
Doom of the Darksword,Margaret Weis,fiction,http://books.google.com/books/content?id=WsRxYXTU1pUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,henry is generally wellbehaved but he is occasionally arrogant and vain henry is at heart a hard worker but his frequent bouts of illness hinder his work,3.66,Fiction
The Delta Star,Joseph Wambaugh,fiction,http://books.google.com/books/content?id=heavDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,la wambaughstyle a world of cops on the rocks with a twist of murder a cheap hooker named missy moonbeam takes a fatal dive from the roof of a sleazy hotel but whats a caltech phone number doing in her trick book and how does that connect to a dead private eye and a useless credit card and what does all that have to do with a whiskyclass russian sub and the nobel prize join joseph wambaughs ravaged cops of rampart station as they follow a trail of corruption from the world of pimps and crazies to the thinktank labs of the countrys top chemistry wizardswhere genius and greed mix to create an awardwinning case of murder a pageturner this is a mustread for wambaugh fansusa today,3.64,Fiction
The House of the Spirits,Isabel Allende,fiction,http://books.google.com/books/content?id=LImWvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,traces the lives of the truebas family starting with clairvoyant clara de valles summoning of the man she intends to marry ambitious esteban trueba and following their lives through which they suffer and triumph,4.22,Fiction
Triumph of the Darksword,Margaret Weis;Tracy Hickman,fiction,http://books.google.com/books/content?id=r6F9D8jFfzQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,science fiction,3.57,Fiction
Starting Over,Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=3dTCfeiOsg0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,desperate to fit in after living in a series of foster homes sally larson moves in with her cousin danas family and causes resentment at sweet valley high,3.37,Children
Forbidden Love,Kate William;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=S2_u4ZiQzrEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the secret engagement between maria santelli and michael harris is threatened by their families enmity and by michaels possessiveness and jealousy,3.33,Children
The New Jessica,Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=g0hQ2Nj2ti0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,tired of being mistaken for her identical twin sister elizabeth jessica wakefield undergoes a complete makeover dyes her hair black and begins wearing outrageous clothes,3.45,Children
Double Love,Francine Pascal;Kate William,juvenile fiction,http://books.google.com/books/content?id=MyTyiBXbQTkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,jessica wakefield and her identical twin sister elizabeth become rivals for the love of todd wilkins a handsome basketball player,3.54,Children
Secrets,Francine Pascal;Kate William,juvenile fiction,http://books.google.com/books/content?id=H50LAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,jessica wakefield will go to any length to be chosen as queen of the fall dance at sweet valley high even if it involves breaking somebodys trust,3.46,Children
Narcissus and Goldmund,Hermann Hesse,fiction,http://books.google.com/books/content?id=43HGbacBDQgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,leaving the medieval monastary of mariabronn goldmund embarks on a fantastic journey to recapture his past and discover his future,4.2,Fiction
Dear Sister,Kate William;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=VPLpEN6xSaQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the motorcycle accident which has left elizabeth wakefield in a coma forces jessica her twin sister to realize just how much elizabeth means to her,3.53,Children
I Know why the Caged Bird Sings,Maya Angelou,biography & autobiography,http://books.google.com/books/content?id=PohuyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a black woman recalls the anguish of her childhood in arkansas and her adolescence in northern slums,4.22,Non-Fiction
Alone in the Crowd,Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=c_c7ZtrXbDYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,painfully shy and introverted lynne henry a talented musician anonymously enters a songwriting contest sponsored by her secret love guy chesney and his band and it is up to elizabeth to help lynne share her musical gifts,3.45,Children
Mitla Pass,Leon Uris,fiction,http://books.google.com/books/content?id=L_T4CvZVF2wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,writer gideon zadok leaves the glitter of hollywood for the newly created state of israel where he learns much about himself and love on a dangerous military operation he covers as a war correspondent,3.84,Fiction
Creature,John Saul,fiction,http://books.google.com/books/content?id=vPknSnxQVTMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,for ellen and blake tanner along with their son mark silverdale colorado seems too good to be true but the family is soon subjected to secret rituals and a hidden evil,3.84,Fiction
Journey of Awakening,Ram Dass;Daniel Goleman,self-help,http://books.google.com/books/content?id=7wVPVr8NK6YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,discusses meditation benefits and techniques and offers a directory of retreat facilities and centers,4.16,Non-Fiction
Dragon Wing,Margaret Weis;Tracy Hickman,fiction,http://books.google.com/books/content?id=nY1PnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wolf haas detective brenner series has become wildly popular around the world for a reason theyre timely edgy stories told in a wry quirky voice thats often hilarious and with a protagonist its hard not to love in this episode brennerforced out of the police forcetries to get away from detective work by taking a job as the personal chauffeur for twoyearold helena the daughter of a munich construction giant and a viennese abortion doctor one day while brenners attention is turned to picking out a chocolate bar for helena at a gas station helena gets snatched from the car abruptly out of a job brenner decides to investigate her disappearance on his own with both parents in the public eye theres no scarcity of leadsthe fathers latest development project has spurred public protest and the mothers clinic has been targeted by the zealous leader of an antiabortion group brenner and god is told with a dark humor that leaves no character including brenner unscathed haas tells the story of a fallible hero who can be indecisive and worldweary baffled and disillusioned by what he finds but who presses forward nonetheless out of a stubborn sense of decencya twoyearold is kidnapped so you find her because thats just what you do,3.95,Fiction
Texas! Lucky,Sandra Brown,fiction,http://books.google.com/books/content?id=0YH8bGuQWwIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the first book in 1 new york times bestselling author sandra browns beloved texas trilogy introduces readers to a closeknit family struggling to go on without its patriarchand to a man in pursuit of an elusive woman who may hold his future in her hands charismatic and easy on the eyes lucky tyler is a born rebel his romantic conquests have earned him his nickname while his temper gives him his reputation as the family hothead one night he gets in a fight over a woman in distress followed by a night of passion neither of them will soon forget but the lady in question has a knack for disappearing when news breaks of a suspicious fire at tyler drilling lucky is the prime suspect now the mystery woman is more than just the object of his obsession shes his alibi devon haines has tried her best to escape lucky yet his bold pursuit and selfassurance are irresistible in order to clear him of criminal charges she must reveal her darkest secret withholding her help could cost him everything he holds dear either way she risks losing him forever,3.86,Fiction
22 Indigo Place,Sandra Brown,fiction,http://books.google.com/books/content?id=WxwetYA5cZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,when insurmountable debts force laura nolan to put 22 indigo place her ancestral home on the market she is shocked when the most promising buyer turns out to be james paden the gorgeous class cutup from her school days,3.63,Fiction
The Wakefields of Sweet Valley,Kate William;Francine Pascal,juvenile fiction,http://books.google.com/books/content?id=QL9aqCWBAeEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a saga covering the origin and history of elizabeth and jessica wakefields family begins in 1860 as alice larson sails from sweden to america traces her twin granddaughters lives in the roaring twenties and culminates in the marriage of elizabeth andj,3.91,Children
Pebble in the Sky,Isaac Asimov,fiction,http://books.google.com/books/content?id=kKVoQuvNjBQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,one moment joseph schwartz is a happily retired tailor in 1949 chicago the next hes a helpless stranger on earth during the heyday of the first galactic empire earth he soon learns is a backwater just a pebble in the sky despised by all the other 200 million planets of the empire because its people dare to claim its the original home of man and earth is poor with great areas of radioactivity ruining much of its soilso poor that everyone is sentenced to death at the age of sixty joseph schwartz is sixtytwo,3.88,Fiction
Texas! Sage,Sandra Brown,fiction,http://books.google.com/books/content?id=k-2TzqI8kiIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,returning home accompanied by harlan boyd the handsome stranger who witnessed her fiancea7 dumping her sage tyler asks him to keep her broken engagement a secret from her oilrich family reprint,4.02,Fiction
Fire Sea,Margaret Weis;Tracy Hickman,fiction,http://books.google.com/books/content?id=xqVXsEaWaJMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,henry is generally wellbehaved but he is occasionally arrogant and vain henry is at heart a hard worker but his frequent bouts of illness hinder his work,4.06,Fiction
Forbidden Knowledge,Stephen R. Donaldson,fiction,http://books.google.com/books/content?id=p3hbqvHvnH8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,with an enormous corporation in control of all explored space beautiful morn hyland must use her feminine wiles to win the affections of succorso and defeat her new enemyan alien force intent on mutating human bodies into alien forms reprint,3.99,Fiction
A Whole New Light,Sandra Brown,fiction,http://books.google.com/books/content?id=riEu7WdgK5cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when her late husbands business partner worth lansing never anything more than a friendasks her to spend a weekend with him in acapulco cyn mccall must choose between a life spent in mourning and a new beginning reprint,3.55,Fiction
The Robots of Dawn,Isaac Asimov,fiction,http://books.google.com/books/content?id=jDjUjdFggVIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,called to the spacer world to solve a case of roboticide new york city detective elijah baley teams up with humanoid robot r daneel olivaw to prove that the prime suspect a renowned roboticist is innocent of the crime reprint,4.15,Fiction
Lila,Robert M. Pirsig,education,http://books.google.com/books/content?id=uDWP4lZMyOMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,describes a voyage down the hudson river undertaken by phaedrus and a troubled companion who provokes a philosophical crisis as the philosophernarrator wrestles with essential questions of morality,3.78,Non-Fiction
The Mind's I,Douglas R. Hofstadter;Daniel Clement Dennett,philosophy,http://books.google.com/books/content?id=hz22QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,brilliant shattering mindjolting the minds i is a searching probing nooka cosmic journey of the mindthat goes deeply into the problem of self and selfconsciousness as anything written in our time from verbalizing chimpanzees to scientific speculations involving machines with souls from the mesmerizing mazelike fiction of borges to the tantalizing dreamlike fiction of lem and princess ineffable her circuits glowing read and gold the minds i opens the mind to the black box of fantasy to the windfalls of reflection to new dimensions of exciting possibilities,4.14,Non-Fiction
The Glory and the Dream,William Manchester,history,http://books.google.com/books/content?id=f9dOPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,explores american history from the great depression through two world wars and korea to the antiwar protests of vietnam,4.42,Non-Fiction
Seven Plays,Sam Shepard;Joseph Chaikin,drama,http://books.google.com/books/content?id=-a0szDa6MksC&printsec=frontcover&img=1&zoom=1&source=gbs_api,henry is generally wellbehaved but he is occasionally arrogant and vain henry is at heart a hard worker but his frequent bouts of illness hinder his work,4.18,Fiction
The Sixties,Todd Gitlin,history,http://books.google.com/books/content?id=xYxKAAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the author a student activist during the sixties offers a personal perspective on the social and political changes of that decade,3.72,Non-Fiction
Feersum Endjinn,Iain Banks,fiction,http://books.google.com/books/content?id=-38GAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,living the last of his eight lives count alandre sessine vii races against time to defuse a lethal conspiracy on its way to earth while a betrayer is fast on his heels original,3.82,Fiction
The Dog Who Loved Too Much,Nicholas H. Dodman,pets,http://books.google.com/books/content?id=8cb2KmAm1SQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an examination of canine behavioral disorders shares often humorous case studies that offer reassurance to troubled pet owners and address such conditions as growling and separation anxiety,4.09,Non-Fiction
Girls in Pants,Ann Brashares,juvenile fiction,http://books.google.com/books/content?id=-IyTvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,the members of the sisterhood of the traveling pants graduate from high school and spend their last summer before college learning about life and themselves includes readers guide with discussion questions and an interview with the author,3.82,Children
The Fairy Tales of Hermann Hesse,Hermann Hesse,fiction,http://books.google.com/books/content?id=3_hvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a collection of twentytwo fairy tales by the nobel prizewinning novelist most translated into english for the first time show the influence of german romanticism psychoanalysis and eastern religion on his development as an author simultaneous,3.99,Fiction
Fierce Invalids Home from Hot Climates,Tom Robbins,fiction,http://books.google.com/books/content?id=fOOrSoBlXVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,switters an anarchist pacifist who works for the government and carries a gun chases after his teenage stepsister only to become madly enamored of a nun a decade older than him in this hilarious new novel by the author of even cowgirls get the blues reprint 50000 first printing,4.03,Fiction
A Brief History of Time,Stephen Hawking,science,http://books.google.com/books/content?id=YmGxbPHFO_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an anniversary edition of a nowclassic survey of the origin and nature of the universe features a new introduction by the author and a new chapter on the possibility of time travel and wormholes in space,4.16,Non-Fiction
Snow Crash,Neal Stephenson,fiction,http://books.google.com/books/content?id=mqpvVydYo-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,in twentyfirstcentury america a teenaged computer hacker finds himself fighting a computer virus that battles virtual reality technology and a deadly drug that turns humans into zombies,4.03,Fiction
The Diamond Age,Neal Stephenson,fiction,http://books.google.com/books/content?id=LIWY6afN5kQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the story of an engineer who creates a device to raise a girl capable of thinking for herself reveals what happens when a young girl of the poor underclass obtains the device,4.19,Fiction
Stories,Anton Pavlovich Chekhov,fiction,http://books.google.com/books/content?id=ccCMJihqqEMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an anthology of short fiction by the great russian writer encompasses thirty of his finest tales including the huntsman the boring story the lady with the little dog ward no 6 the student the fiancte and the bishop representing various periods in his creative work original,4.35,Fiction
The bonfire of the vanities,Tom Wolfe,fiction,http://books.google.com/books/content?id=bA63bU4h3h8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,sherman mccoy a young investment banker in manhattan finds himself arrested following a freak accident and becomes involved with prosecutors politicians the press and assorted hustlers reprint,3.84,Fiction
Tides of War,Steven Pressfield,fiction,http://books.google.com/books/content?id=EY1EDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,presents the story of the great athenian warrior and general alcibiades from his great victories on behalf of athens to his later alliances with sparta and persia and his role in the eventual downfall of athens,3.89,Fiction
Men Who Hate Women and the Women Who Love Them,Susan Forward;Joan Torres,family & relationships,http://books.google.com/books/content?id=bCJ_PBO1A68C&printsec=frontcover&img=1&zoom=1&source=gbs_api,profiles of men who emotionally abuse women and the women who are attracted to them are accompanied by advice for women who want to improve or terminate misogynistic relationships while increasing their selfrespect courage and confidence reprint,4.09,Non-Fiction
Beach Music,Pat Conroy,fiction,http://books.google.com/books/content?id=dCmix3nC-4sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,living in rome with his daughter jack mccall finds his grief following his wifes suicide interrupted by the arrival of his sisterinlaw and two friends seeking his help in tracking down a classmate who went underground as a vietnam protestor reprint,4.15,Fiction
The Prince of Tides,Pat Conroy,fiction,http://books.google.com/books/content?id=WOYztK9oEzEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,interweaves the events of tom wingos summer in new york and his relationship to susan lowenstein his sister savannahs beautiful psychiatrist and the complex history of the south carolinian wingo family from world war ii through vietnam reprint,4.24,Fiction
A Clash of Kings,George R. R. Martin,fiction,http://books.google.com/books/content?id=NnE07xtwhqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,with his estate divided and his family scattered lord eddard stark returns to his territory to fight an ancient spell that is slowly devouring what is left of his land reprint,4.41,Fiction
Last of the Amazons,Steven Pressfield,fiction,http://books.google.com/books/content?id=AflvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,from the new york times bestselling author of gates of fire comes a stunning epic of love and war that breathes authentic life into the grand myth of the ferocious female warrior culture of the amazons,3.75,Fiction
The Shelters of Stone,Jean M. Auel,fiction,http://books.google.com/books/content?id=BmAgthvTtbwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in the fifth volume of the bestselling earths children series which began with the clan of the cave bear ayla and jondalar continue their epic journey across ice age europe to join jondalars people the zelandonii confronting new hardships and perilous challenges along the way reprint,3.82,Fiction
A Wizard of Earthsea,Ursula K. Le Guin,fiction,http://books.google.com/books/content?id=hwlCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a boy grows to manhood while attempting to subdue the evil he unleashed on the world as an apprentice to the master wizard,4.0,Fiction
Interface,Neal Stephenson;Frederick George,fiction,http://books.google.com/books/content?id=zdto5-jmGe0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,in a nearfuture political thriller a network of investors has a vested and sinister interest in the presidential race and together the shadowy coalition attempts to control the worldwide economy by using a special biochip implant to control the mind of a presidential candidate originally written under the pseudonym of stephen bury reissue 30000 first printing,3.67,Fiction
The Cobweb,Neal Stephenson;J. Frederick George,fiction,http://books.google.com/books/content?id=WvnNmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,while his wife an army reservist flies to a mideast crisis clyde banks a deputy sheriff in a small midwestern town uncovers a plot that might have connections reaching halfway across the globe by the author of interface originally written under the pseudonym of stephen bury reissue 30000 first printing,3.61,Fiction
Gates Of Fire,Steven Pressfield,fiction,http://books.google.com/books/content?id=wdKJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,chronicles the battle of three hundred spartan warriors against a huge force of persian soldiers in 480 bc against the background of life in ancient sparta and its extraordinary culture,4.41,Fiction
Odd Thomas,Dean Ray Koontz,fiction,http://books.google.com/books/content?id=61-UDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,over the course of two days odd thomas his soulmate stormy llewellyn and an assortment of allies make their way through a dark terrifying world in which past and present and life and death collide as they try to avert a cataclysm,3.96,Fiction
The Celestine Prophecy,James Redfield,manuscripts,http://books.google.com/books/content?id=JZGsGkL2cuYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,you have never read a book like this before the celestine prophecy contains secrets that are currently changing our world drawing on the ancient wisdom found in a peruvian manuscript it tells you how to make connections between the events happening in your own life right nowand lets you see what is going to happen to you in the years to come the story it tells is a gripping one of adventure and discovery but it is also a guidebook that has the power to crystalize your perceptions of why you are where you are in lifeand to direct your steps with a new energy and optimism as you head into tomorrow a book that comes along just once in a lifetime to change lives forever,3.63,Non-Fiction
Death of a Snob,M. C. Beaton,fiction,http://books.google.com/books/content?id=fIUfAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,when police constable hamish macbeth is offered a holiday at jane wetherbys happy wanderer health farm on the isle of eileencraig he accepts unfortunately it is not the holiday he hoped for when one of the guests stuckup morag is found dead hamish must solve the death of a snob,3.78,Fiction
Encyclopedia Brown and the Case of the Sleeping Dog,Donald J. Sobol,juvenile fiction,http://books.google.com/books/content?id=YX4Ki8m_EvEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,americas sherlock holmes in sneakers continues his war on crime in ten more cases the solutions to which are found in the back of the book,4.04,Children
